experiment,model_name,train_rows,test_rows,holdout_r2,holdout_rmse,holdout_mae,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std
main,random_forest,793,199,0.05878651393683765,126.31193776412482,68.2388978440981,-0.08940022294470003,0.22418953193814992,97.21423439377674,23.903593047981435,57.429275536336036,3.6733337136940407
main,dummy_median,793,199,-0.09978261742974648,136.53806779734305,62.79707031063237,-0.12623810240476016,0.05290798116325767,100.46066825189232,27.14923392506508,53.23998278411934,5.239202910240861
main,xgboost,793,199,-0.0618345572999246,134.16176241939093,68.67252763045896,-0.2719976656529304,0.34794159704557776,103.7769533948687,23.01620221042708,60.526008007415726,2.8749065788829973
robust_filtered,random_forest,636,159,0.0569585445987465,134.4193201384455,66.32635200297402,-0.09106690241196765,0.0765244178657763,108.27059256755267,17.83528300797019,64.55195987581683,6.90458657945294
robust_filtered,dummy_median,636,159,-0.10035335865080341,145.198586650182,66.09203744992911,-0.09452241948486302,0.042923999396988474,108.84623941597336,19.592242340802862,58.22257108988907,7.397628620166644
robust_filtered,xgboost,636,159,0.06609963218489645,133.76625717236357,69.76959413121249,-0.2515566468098887,0.13517222791369363,115.3980371451649,17.52728109442408,68.95635230578593,6.661789464074265
