code_iris,nom_iris,nom_commune,arrondissement_code,bin_count,bin_density,predicted_bin_density,priority_score,population_density,trilib_density,green_ratio,distance_to_paris_centroid_m,suspected_false_zero,is_special_iris,present_in_robust_top50
751062102,Monnaie 2,Paris 6e Arrondissement,06,0,0.0,319.092089604756,319.092089604756,23482.692655792736,0.0,0.0076833047785798,366.52799937868826,False,False,True
751010102,Saint-Germain l'Auxerrois 2,Paris 1er Arrondissement,01,0,0.0,294.0640930357777,294.0640930357777,2563.412815458286,0.0,0.0486090544901249,112.96253048187374,False,False,True
751072603,Invalides 3,Paris 7e Arrondissement,07,0,0.0,246.21059230202698,246.21059230202698,14333.673599196149,0.0,0.0116049021965697,2393.903552472525,False,False,True
751041601,Notre-Dame 1,Paris 4e Arrondissement,04,0,0.0,230.43330416725473,230.43330416725473,30382.94012387409,0.0,0.0,1141.976168512338,False,False,True
751166412,Chaillot 12,Paris 16e Arrondissement,16,4,39.11086410804477,236.50070140051616,197.38983729247138,7114.136583939352,0.0,0.0,3880.943078511851,False,False,True
751062202,Odéon 2,Paris 6e Arrondissement,06,3,29.420955746972044,210.79034625830408,181.36939051133203,13368.14743874609,9.80698524899068,0.009611422373451,958.148394318923,False,False,False
751041403,Saint-Gervais 3,Paris 4e Arrondissement,04,1,14.689093264988983,191.31362787360882,176.62453460861985,38816.46674874474,0.0,0.0349276425045169,1194.09980419642,False,False,False
751093408,Chaussée d'Antin 8,Paris 9e Arrondissement,09,0,0.0,171.80942517744347,171.80942517744347,11943.453967473924,0.0,0.0,2219.0860098401363,False,False,False
751072707,École Militaire 7,Paris 7e Arrondissement,07,3,12.398732877868502,184.09290300798213,171.69417013011363,491.8185121967845,0.0,0.0081714707804104,2798.3133238283795,False,False,False
751062402,Saint-Germain des Prés 2,Paris 6e Arrondissement,06,15,81.4599903942309,252.37305603540057,170.91306564116968,14446.404204193588,0.0,0.0181698829131759,649.7518650361299,False,False,False
751020704,Mail 4,Paris 2e Arrondissement,02,1,20.669709506533977,187.9240626041976,167.25435309766362,15136.61100985425,20.669709506533977,0.0,1537.3667590975708,False,False,True
751041603,Notre-Dame 3,Paris 4e Arrondissement,04,9,75.1451582386624,242.17301792960293,167.02785969094055,1292.208716144329,0.0,0.1161716817477477,491.5211301937404,False,False,True
751041303,Saint-Merri 3,Paris 4e Arrondissement,04,2,40.42834454966929,202.0701608699417,161.64181632027243,34391.989448343294,0.0,0.0,641.6875504893806,False,False,False
751186903,Grandes Carrières 3,Paris 18e Arrondissement,18,0,0.0,158.43306571697605,158.43306571697605,30981.252652295232,16.360647955236395,0.1520487126922605,3267.617292772765,True,False,True
751135008,Gare 8,Paris 13e Arrondissement,13,2,33.74634165020407,186.8896238058419,153.14328215563782,22097.993149301445,50.6195124753061,0.0707517025969251,4027.935426148456,False,False,False
751082901,Champs Élysées 1,Paris 8e Arrondissement,08,0,0.0,149.7446782724782,149.7446782724782,8636.43010030785,0.0,0.0,3165.533921593032,False,False,False
751083003,Faubourg du Roule 3,Paris 8e Arrondissement,08,3,30.84448735304988,173.92337292944404,143.07888557639416,6275.960931336873,0.0,0.0106367343519246,3057.7195122871053,False,False,True
751145617,Plaisance 17,Paris 14e Arrondissement,14,0,0.0,141.37879379048294,141.37879379048294,54083.19964996484,0.0,0.239649551898824,3393.660095895032,True,False,True
751052005,Sorbonne 5,Paris 5e Arrondissement,05,4,54.02464735354951,192.90199962775688,138.87735227420737,6268.308426630564,0.0,0.0200428735483016,937.65262117895,False,False,False
751082902,Champs Élysées 2,Paris 8e Arrondissement,08,1,5.577528499708931,141.24302931006775,135.66550081035882,2709.1742979390333,0.0,0.0405749419961437,2820.7400021575245,False,False,False
751083101,Madeleine 1,Paris 8e Arrondissement,08,0,0.0,135.36033945703994,135.36033945703994,1058.2584785287338,0.0,0.0,2095.71841290759,False,False,False
751155920,Grenelle 20,Paris 15e Arrondissement,15,0,0.0,128.92228482958984,128.92228482958984,18095.362778502484,0.0,0.0,3916.86641567412,False,False,False
751134908,Salpêtrière 8,Paris 13e Arrondissement,13,118,206.5081715699301,333.2872488257156,126.7790772557855,1626.4214583254125,0.0,0.0097445408247929,2623.486330184096,False,False,False
751083103,Madeleine 3,Paris 8e Arrondissement,08,1,12.335551919248608,139.0160878038022,126.68053588455359,10327.224877073962,0.0,0.0,2718.1222265446986,False,False,False
751124703,Bercy 3,Paris 12e Arrondissement,12,4,9.82569669815149,136.40585856000686,126.58016186185537,5977.462717855464,4.912848349075745,0.0063419343410549,4404.862622288278,False,False,False
751114214,Saint-Ambroise 14,Paris 11e Arrondissement,11,1,25.68250655763118,149.62085117031305,123.93834461268187,41318.902242012446,51.36501311526236,0.0476750461600315,2993.886881939884,False,False,False
751062103,Monnaie 3,Paris 6e Arrondissement,06,3,42.72563639900812,166.25230486987226,123.52666847086414,24963.536524771695,0.0,0.0,292.3491666961957,False,False,False
751041602,Notre-Dame 2,Paris 4e Arrondissement,04,3,97.88622919767462,220.81716890687753,122.9309397092029,18266.83074807336,0.0,0.0044472208018072,655.616774162564,False,False,False
751072506,Saint-Thomas d'Aquin 6,Paris 7e Arrondissement,07,7,45.394222198335314,168.27066356775367,122.87644136941836,15147.45180075616,0.0,0.0,967.517745274218,False,False,False
751145618,Plaisance 18,Paris 14e Arrondissement,14,5,46.83487500745248,167.76805479306896,120.93317978561647,27801.654687020004,18.73395000298099,0.1476811991957057,3035.076803202222,False,False,False
751083209,Europe 9,Paris 8e Arrondissement,08,1,8.71536595071102,129.33283600732676,120.61747005661574,6921.042772548955,8.71536595071102,0.0,2893.219494971663,False,False,False
751187023,Clignancourt 23,Paris 18e Arrondissement,18,0,0.0,120.3363843299548,120.3363843299548,79121.94228485978,28.88218642567846,0.0,4246.427518281231,True,False,True
751187104,Goutte d'Or 4,Paris 18e Arrondissement,18,1,15.210173753621442,129.83479032971218,114.62461657609073,34824.45466354708,30.420347507242884,0.1357859501045402,3385.529313053589,False,False,False
751031204,Sainte-Avoye 4,Paris 3e Arrondissement,03,1,20.937346320879225,133.83263295820564,112.89528663732641,41191.8578272052,0.0,0.0,1093.8341200789253,False,False,False
751207706,Belleville 6,Paris 20e Arrondissement,20,1,18.762305862494653,128.7383427496257,109.97603688713104,38539.000490324994,37.524611724989306,0.0715778835866781,3430.0157459182024,False,False,False
751186914,Grandes Carrières 14,Paris 18e Arrondissement,18,0,0.0,108.5139811301107,108.5139811301107,39439.09916000344,20.063307952510872,0.1444027658560318,3955.459347319465,True,False,True
751020501,Gaillon 1,Paris 2e Arrondissement,02,4,54.66617874985112,162.58766778479028,107.92148903493916,12612.661114989543,13.66654468746278,0.0,1474.9325728057554,False,False,False
751187026,Clignancourt 26,Paris 18e Arrondissement,18,0,0.0,105.98583833531467,105.98583833531467,15122.88995517926,11.974317462993886,0.0518809495090219,4501.964540130352,True,False,False
751155721,Saint-Lambert 21,Paris 15e Arrondissement,15,2,43.56786502075349,149.04219867651923,105.47433365576575,38982.00302911548,21.783932510376744,0.1340780312918006,3411.8675016967777,False,False,True
751010302,Palais Royal 2,Paris 1er Arrondissement,01,0,0.0,103.80553848872965,103.80553848872965,4924.737273320883,0.0,0.0,955.3088310190394,False,False,False
751041402,Saint-Gervais 2,Paris 4e Arrondissement,04,12,150.0062996779948,251.83092636774188,101.82462668974708,25889.81670623903,0.0,0.03168413869479,1011.634982545942,False,False,False
751187018,Clignancourt 18,Paris 18e Arrondissement,18,0,0.0,100.55299533472163,100.55299533472163,50087.9492659173,0.0,0.0642018792542366,4073.727951305888,True,False,True
751207705,Belleville 5,Paris 20e Arrondissement,20,0,0.0,100.01880608916767,100.01880608916767,46420.78391277912,0.0,0.0618050935350717,3543.246532256092,True,False,True
751010101,Saint-Germain l'Auxerrois 1,Paris 1er Arrondissement,01,4,62.52885604855919,162.04531215200754,99.51645610344835,16959.256806101206,0.0,0.0,281.72823980875376,False,False,False
751083107,Madeleine 7,Paris 8e Arrondissement,08,0,0.0,99.47117821847516,99.47117821847516,7196.062375419427,0.0,0.1011262135413828,2391.0240024898367,False,False,False
751187101,Goutte d'Or 1,Paris 18e Arrondissement,18,1,8.49295035044457,104.98822740754791,96.49527705710334,22962.24908930375,16.98590070088914,0.0236205996813102,3528.52376881983,False,False,False
