id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m,predicted_bin_density,priority_score,residual,abs_error,suspected_false_zero,is_special_iris,coverage_zero_type,predicted_bin_density_fullfit,priority_score_fullfit,predicted_bin_density_robust,priority_score_robust
iris_ge.717,IRIS____0000000751083003,75108,Paris 8e Arrondissement,3003,751083003,Faubourg du Roule 3,A,0.0972621125344578,3,0,1034.5512535360272,751083003,75108,610.413218365548,610.413218365548,30.84448735304988,6275.960931336873,0.0,0.0106367343519246,08,3057.7195122871053,173.92337292944404,143.07888557639416,143.07888557639416,143.07888557639416,False,False,observed_non_zero,105.59309295368215,74.74860560063226,128.2064164533215,97.36192910027162
iris_ge.727,IRIS____0000000751041603,75104,Paris 4e Arrondissement,1603,751041603,Notre-Dame 3,A,0.1197681954626515,9,0,13913.672686789205,751041603,75104,154.765506093716,73.0999504100987,75.1451582386624,1292.208716144329,0.0,0.1161716817477477,04,491.5211301937404,242.17301792960293,167.02785969094055,167.02785969094055,167.02785969094055,False,False,observed_non_zero,214.24222307089843,139.09706483223601,213.66234889480506,138.51719065614265
iris_ge.730,IRIS____0000000751093504,75109,Paris 9e Arrondissement,3504,751093504,Faubourg Montmartre 4,A,0.1033366656316851,0,0,500.02549784615593,751093504,75109,1751.44515609233,1751.44515609233,0.0,16948.92268282461,0.0,0.0048388003888993,09,1815.109970062974,41.40710807964392,41.40710807964392,41.40710807964392,41.40710807964392,False,False,potential_true_zero,21.237666833866452,21.237666833866452,19.046784779653642,19.046784779653642
iris_ge.738,IRIS____0000000751083004,75108,Paris 8e Arrondissement,3004,751083004,Faubourg du Roule 4,A,0.1434014449469785,3,1,0.0,751083004,75108,1504.69244831388,1504.69244831388,20.920291292108136,10492.868107920578,6.973430430702712,0.0,08,3032.9562061795345,105.14169202594901,84.22140073384088,84.22140073384088,84.22140073384088,False,False,observed_non_zero,46.963956308035954,26.043665015927818,50.76265528700589,29.842363994897756
iris_ge.749,IRIS____0000000751072605,75107,Paris 7e Arrondissement,2605,751072605,Invalides 5,A,0.0682592440230063,0,0,0.0,751072605,75107,0.0,0.0,0.0,0.0,0.0,0.0,07,1976.9262010221007,45.15542699485236,45.15542699485236,45.15542699485236,45.15542699485236,False,True,potential_true_zero,19.811906014168223,19.811906014168223,17.319817502744343,17.319817502744343
iris_ge.761,IRIS____0000000751072507,75107,Paris 7e Arrondissement,2507,751072507,Saint-Thomas d'Aquin 7,A,0.0242472040281827,0,1,6765.023274067117,751072507,75107,0.0,0.0,0.0,0.0,41.24186849905217,0.2790022002621034,07,1444.9096003377629,185.47051726154604,185.47051726154604,185.47051726154604,185.47051726154604,True,True,suspected_false_zero,94.89728420136093,94.89728420136093,209.60258342890063,209.60258342890063
iris_ge.762,IRIS____0000000751072508,75107,Paris 7e Arrondissement,2508,751072508,Saint-Thomas d'Aquin 8,A,0.0314741315028088,6,0,0.0,751072508,75107,4.00001714494528,0.0,190.63274230345456,127.08903960029228,0.0,0.0,07,1224.321638715991,67.578345557755,-123.05439674569956,-123.05439674569956,123.05439674569956,False,True,observed_non_zero,143.14303654258836,-47.4897057608662,173.76672764414315,-16.866014659311418
iris_ge.766,IRIS____0000000751072707,75107,Paris 7e Arrondissement,2707,751072707,École Militaire 7,A,0.2419602091238647,3,0,1977.1707788776507,751072707,75107,119.000510062122,28.000120014617,12.398732877868502,491.8185121967845,0.0,0.0081714707804104,07,2798.3133238283795,184.09290300798213,171.69417013011363,171.69417013011363,171.69417013011363,False,False,observed_non_zero,98.19052443250727,85.79179155463878,76.69291098974367,64.29417811187517
iris_ge.768,IRIS____0000000751083005,75108,Paris 8e Arrondissement,3005,751083005,Faubourg du Roule 5,A,0.165485467816442,8,0,0.0,751083005,75108,1369.09146437144,1364.09150293266,48.34261343644791,8273.182427656115,0.0,0.0,08,3539.3271100019347,33.42950090324315,-14.91311253320476,-14.91311253320476,14.91311253320476,False,False,observed_non_zero,42.56088290633738,-5.781730530110529,35.213437361738414,-13.129176074709498
iris_ge.770,IRIS____0000000751082902,75108,Paris 8e Arrondissement,2902,751082902,Champs Élysées 2,A,0.1792908812661712,1,0,7274.717107812386,751082902,75108,485.73024738115,479.730293654625,5.577528499708931,2709.1742979390333,0.0,0.0405749419961437,08,2820.7400021575245,141.24302931006775,135.66550081035882,135.66550081035882,135.66550081035882,False,False,observed_non_zero,59.050031541624364,53.47250304191543,52.15468115090578,46.57715265119685
