id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m
iris_ge.490,IRIS____0000000751010206,75101,Paris 1er Arrondissement,0206,751010206,Les Halles 6,A,0.039151369664033854,7,0,0.0,751010206,75101,548.586711949229,548.586711949229,178.79323405716005,14011.941770026619,0.0,0.0,01,902.5402414290187
iris_ge.503,IRIS____0000000751093405,75109,Paris 9e Arrondissement,3405,751093405,Chaussée d'Antin 5,A,0.04408295529757489,0,0,0.0,751093405,75109,405.879574613449,405.879574613449,0.0,9207.177056838053,0.0,0.0,09,2011.4758784341539
iris_ge.505,IRIS____0000000751010302,75101,Paris 1er Arrondissement,0302,751010302,Palais Royal 2,A,0.03601006781103163,0,0,0.0,751010302,75101,177.3401231638,177.3401231638,0.0,4924.737273320883,0.0,0.0,01,955.3088310190394
iris_ge.514,IRIS____0000000751010303,75101,Paris 1er Arrondissement,0303,751010303,Palais Royal 3,A,0.039777096756429375,5,0,0.0,751010303,75101,290.546820877295,290.546820877295,125.70047609600428,7304.374742491291,0.0,0.0,01,887.3761144511087
iris_ge.518,IRIS____0000000751093406,75109,Paris 9e Arrondissement,3406,751093406,Chaussée d'Antin 6,A,0.033449376259040126,1,0,0.0,751093406,75109,57.3717878516701,57.3717878516701,29.89592368646148,1715.1825913693872,0.0,0.0,09,1923.506477882449
iris_ge.537,IRIS____0000000751093407,75109,Paris 9e Arrondissement,3407,751093407,Chaussée d'Antin 7,A,0.07133615745563174,3,1,0.0,751093407,75109,1220.11839698656,1220.11839698656,42.0544098112641,17103.786361711802,14.0181366037547,0.0,09,2150.4453219876195
iris_ge.547,IRIS____0000000751010402,75101,Paris 1er Arrondissement,0402,751010402,Place Vendôme 2,A,0.16740493209663743,4,0,0.0,751010402,75101,1163.42339840464,1163.42339840464,23.894158612309763,6949.75580368823,0.0,0.0,01,1587.9164366599875
iris_ge.559,IRIS____0000000751020501,75102,Paris 2e Arrondissement,0501,751020501,Gaillon 1,A,0.0731713847844339,4,1,0.0,751020501,75102,922.885879600567,875.884914730025,54.66617874985112,12612.661114989543,13.66654468746278,0.0,02,1474.9325728057554
iris_ge.564,IRIS____0000000751093408,75109,Paris 9e Arrondissement,3408,751093408,Chaussée d'Antin 8,A,0.08211754781190105,0,0,0.0,751093408,75109,980.767152213279,980.767152213279,0.0,11943.453967473923,0.0,0.0,09,2219.0860098401363
iris_ge.574,IRIS____0000000751020502,75102,Paris 2e Arrondissement,0502,751020502,Gaillon 2,A,0.07540036454173736,4,0,0.0,751020502,75102,273.950234923062,273.950234923062,53.05014139269615,3633.2746743076914,0.0,0.0,02,1643.707631680878
iris_ge.575,IRIS____0000000751020503,75102,Paris 2e Arrondissement,0503,751020503,Gaillon 3,A,0.04029459345127931,0,1,0.0,751020503,75102,123.896792479711,123.896792479711,0.0,3074.7746004564146,24.81722519943308,0.0,02,1644.7566259899627
iris_ge.600,IRIS____0000000751020602,75102,Paris 2e Arrondissement,0602,751020602,Vivienne 2,A,0.12655361406285198,0,0,0.0,751020602,75102,1376.09479092935,1376.09479092935,0.0,10873.611165667082,0.0,0.0,02,1548.3791434198688
iris_ge.610,IRIS____0000000751093409,75109,Paris 9e Arrondissement,3409,751093409,Chaussée d'Antin 9,A,0.06072438184317169,64,0,0.0,751093409,75109,692.499166343973,692.499166343973,1053.9423878416417,11403.972264920516,0.0,0.0,09,2283.4322930864305
iris_ge.633,IRIS____0000000751020704,75102,Paris 2e Arrondissement,0704,751020704,Mail 4,A,0.04837997358810903,1,1,0.0,751020704,75102,732.308840870229,732.308840870229,20.669709506533977,15136.61100985425,20.669709506533977,0.0,02,1537.3667590975708
iris_ge.640,IRIS____0000000751082903,75108,Paris 8e Arrondissement,2903,751082903,Champs Élysées 3,A,0.13462032145704783,2,1,0.0,751082903,75108,399.606629382475,399.606629382475,14.856598011007744,2968.397527634593,7.428299005503872,0.0,08,3091.6910074467633
iris_ge.645,IRIS____0000000751082904,75108,Paris 8e Arrondissement,2904,751082904,Champs Élysées 4,A,0.06787813459453822,0,0,0.0,751082904,75108,233.907840932563,233.907840932563,0.0,3445.9968932526367,0.0,0.0,08,3338.305161099152
iris_ge.674,IRIS____0000000751052005,75105,Paris 5e Arrondissement,2005,751052005,Sorbonne 5,A,0.07404027968610503,4,0,1483.979963229494,751052005,75105,464.107309066496,189.105128371741,54.02464735354951,6268.308426630564,0.0,0.020042873548301695,05,937.65262117895
iris_ge.699,IRIS____0000000751082905,75108,Paris 8e Arrondissement,2905,751082905,Champs Élysées 5,A,0.07211736695287099,1,1,0.0,751082905,75108,328.59044065622,328.59044065622,13.86628550448194,4556.328864182677,13.86628550448194,0.0,08,3574.026127823952
iris_ge.703,IRIS____0000000751082906,75108,Paris 8e Arrondissement,2906,751082906,Champs Élysées 6,A,0.04598719069915684,4,0,0.0,751082906,75108,15.9559394036129,15.9559394036129,86.9807426630507,346.96486480322113,0.0,0.0,08,3651.0946573926853
iris_ge.714,IRIS____0000000751041304,75104,Paris 4e Arrondissement,1304,751041304,Saint-Merri 4,A,0.07552693185631634,7,0,7224.867840219189,751041304,75104,304.185038804026,304.185038804026,92.68217082241489,4027.5042468653774,0.0,0.09565949076236666,04,568.4079400633153
iris_ge.715,IRIS____0000000751041305,75104,Paris 4e Arrondissement,1305,751041305,Saint-Merri 5,A,0.00873952090264371,0,0,0.0,751041305,75104,0.0,0.0,0.0,0.0,0.0,0.0,04,769.6547461117835
iris_ge.717,IRIS____0000000751083003,75108,Paris 8e Arrondissement,3003,751083003,Faubourg du Roule 3,A,0.09726211253445788,3,0,1034.5512535360272,751083003,75108,610.413218365548,610.413218365548,30.844487353049878,6275.960931336873,0.0,0.01063673435192463,08,3057.7195122871053
iris_ge.727,IRIS____0000000751041603,75104,Paris 4e Arrondissement,1603,751041603,Notre-Dame 3,A,0.11976819546265155,9,0,13913.672686789205,751041603,75104,154.765506093716,73.0999504100987,75.1451582386624,1292.208716144329,0.0,0.11617168174774778,04,491.52113019374036
iris_ge.730,IRIS____0000000751093504,75109,Paris 9e Arrondissement,3504,751093504,Faubourg Montmartre 4,A,0.10333666563168512,0,0,500.02549784615593,751093504,75109,1751.44515609233,1751.44515609233,0.0,16948.92268282461,0.0,0.00483880038889931,09,1815.109970062974
iris_ge.738,IRIS____0000000751083004,75108,Paris 8e Arrondissement,3004,751083004,Faubourg du Roule 4,A,0.14340144494697857,3,1,0.0,751083004,75108,1504.69244831388,1504.69244831388,20.920291292108136,10492.868107920578,6.973430430702712,0.0,08,3032.9562061795345
iris_ge.749,IRIS____0000000751072605,75107,Paris 7e Arrondissement,2605,751072605,Invalides 5,A,0.06825924402300639,0,0,0.0,751072605,75107,0.0,0.0,0.0,0.0,0.0,0.0,07,1976.9262010221012
iris_ge.761,IRIS____0000000751072507,75107,Paris 7e Arrondissement,2507,751072507,Saint-Thomas d'Aquin 7,A,0.024247204028182725,0,1,6765.023274067117,751072507,75107,0.0,0.0,0.0,0.0,41.24186849905217,0.27900220026210343,07,1444.9096003377629
iris_ge.762,IRIS____0000000751072508,75107,Paris 7e Arrondissement,2508,751072508,Saint-Thomas d'Aquin 8,A,0.031474131502808846,6,0,0.0,751072508,75107,4.00001714494528,0.0,190.63274230345456,127.08903960029228,0.0,0.0,07,1224.321638715991
iris_ge.766,IRIS____0000000751072707,75107,Paris 7e Arrondissement,2707,751072707,École Militaire 7,A,0.24196020912386473,3,0,1977.1707788776507,751072707,75107,119.000510062122,28.000120014617,12.398732877868502,491.8185121967845,0.0,0.008171470780410401,07,2798.3133238283795
iris_ge.768,IRIS____0000000751083005,75108,Paris 8e Arrondissement,3005,751083005,Faubourg du Roule 5,A,0.16548546781644205,8,0,0.0,751083005,75108,1369.09146437144,1364.09150293266,48.34261343644791,8273.182427656115,0.0,0.0,08,3539.3271100019347
